,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
366,39,1,10143,11,9,1,9,1,0,0,0,0,44,0,1
367,5,2,18711,12,11,0,9,0,0,1,0,0,14,0,1
369,22,2,19889,1,8,2,9,4,0,1,0,0,39,0,1
370,9,3,10447,11,9,0,0,4,0,1,0,0,14,0,1
371,0,2,3028,8,6,0,8,3,0,0,0,0,9,0,1
373,28,2,15439,1,8,1,13,1,1,0,0,0,39,0,1
374,27,2,7992,1,8,0,10,0,1,0,0,0,39,0,1
375,3,4,18472,11,9,0,0,3,0,1,0,0,9,0,1
376,16,2,15885,1,8,1,10,2,0,1,0,0,39,0,1
377,6,2,769,11,9,0,9,0,0,0,0,0,39,0,1
378,29,1,2617,9,13,2,1,0,0,0,0,0,29,0,1
379,21,2,9084,1,8,1,9,1,0,0,0,0,49,0,1
380,37,2,9219,1,8,2,11,0,0,0,0,0,39,0,1
381,29,2,13140,3,2,2,10,0,0,1,0,71,44,0,1
382,8,2,18319,11,9,1,10,1,0,0,0,0,39,0,1
383,29,2,4280,11,9,2,9,0,0,1,0,0,39,0,1
384,19,4,4988,11,9,1,11,2,0,1,0,0,39,0,1
385,6,2,19238,1,8,0,8,0,0,1,0,0,24,0,1
386,12,2,6188,1,8,4,13,0,0,0,0,0,39,0,1
388,2,2,142,11,9,0,0,3,0,1,0,0,15,0,1
389,2,2,14224,1,8,0,8,5,0,1,0,0,39,0,1
391,10,2,17103,0,12,0,10,0,0,0,0,0,49,0,1
392,29,1,16299,12,11,4,10,0,0,0,0,0,39,0,1
394,17,2,11530,1,8,0,8,0,0,1,0,0,34,0,1
395,27,2,4838,11,9,1,2,1,0,0,0,0,39,0,1
396,28,2,3391,11,9,2,6,4,0,1,0,0,39,0,1
400,3,2,19481,11,9,0,6,3,0,0,0,0,39,0,1
401,11,2,4274,11,9,0,8,0,0,1,0,0,39,0,1
403,17,2,13952,13,10,2,2,0,0,1,0,0,63,0,1
404,11,2,8492,14,3,1,6,1,4,0,0,61,39,38,1
406,11,2,4400,1,8,1,0,1,0,0,0,0,39,0,1
407,29,1,17578,1,8,1,10,1,0,0,0,0,24,0,1
409,15,2,18746,11,9,1,1,1,0,0,0,0,49,0,1
410,24,4,1096,11,9,2,8,0,1,1,0,0,23,0,1
411,7,2,14768,1,8,0,6,4,1,1,0,0,39,0,1
412,16,2,5106,11,9,2,1,4,0,1,0,0,39,0,1
414,14,0,20251,11,9,1,13,1,0,0,0,0,39,0,1
416,35,2,10979,5,1,1,13,1,0,0,0,0,39,36,1
417,13,2,19581,8,6,0,8,3,0,1,0,0,18,0,1
418,17,4,14873,8,6,4,13,0,1,0,0,0,39,0,1
419,17,0,14677,1,8,2,11,4,0,1,0,0,39,0,1
420,3,2,1913,11,9,1,9,1,0,0,0,0,29,0,1
421,0,2,9299,8,6,0,6,3,0,0,25,0,17,0,1
423,12,2,10724,1,8,2,12,0,0,0,0,0,39,0,1
424,16,2,14005,4,5,0,10,4,0,1,0,0,34,0,1
425,8,2,6132,1,8,1,11,1,0,0,0,0,59,0,1
426,19,3,15369,9,13,0,7,0,0,0,0,15,39,0,1
427,6,2,12339,1,8,0,6,0,0,0,0,0,69,17,1
429,30,4,16676,9,13,1,7,1,0,0,0,0,39,0,1
432,23,1,12285,0,12,3,7,0,0,1,24,0,39,0,1
434,10,2,4899,11,9,0,10,3,2,0,0,51,39,5,1
436,17,4,16580,1,8,0,12,0,1,0,3,0,59,0,1
437,17,4,4960,11,9,0,3,0,0,1,0,0,39,0,1
438,6,2,2638,11,9,1,0,1,0,0,0,0,39,0,1
439,25,4,18163,11,9,1,0,2,0,1,0,0,39,0,1
440,12,2,18733,0,12,0,7,0,0,0,0,0,39,0,1
441,28,2,1230,1,8,2,0,0,0,1,0,0,27,0,1
442,7,3,11011,1,8,0,4,3,0,0,0,0,39,0,1
444,10,2,19374,10,4,0,10,5,0,0,0,0,39,36,1
445,3,2,17019,11,9,0,9,0,0,0,0,0,34,0,1
446,27,2,16777,1,8,6,1,4,1,1,0,0,39,0,1
447,34,2,1736,1,8,1,10,1,3,0,0,0,39,0,1
448,3,2,7007,1,8,1,13,1,0,0,0,0,39,0,1
450,2,2,12490,1,8,0,13,3,1,1,0,0,39,0,1
456,13,2,9866,1,8,1,1,2,0,1,0,0,39,0,1
457,21,2,18482,11,9,1,11,1,1,0,0,0,49,0,1
458,6,2,1598,1,8,1,11,1,0,0,0,0,59,0,1
460,27,2,4927,12,11,0,12,3,0,0,0,0,39,0,1
461,37,4,16722,1,8,1,11,1,1,0,0,0,39,0,1
462,15,2,6075,0,12,1,7,1,0,0,0,0,49,0,1
463,33,2,11267,5,1,3,10,4,0,0,0,0,39,0,1
464,7,2,8833,0,12,0,2,0,0,1,0,0,19,0,1
465,20,2,5703,1,8,1,0,2,0,1,0,0,59,0,1
466,35,2,766,1,8,2,11,4,0,0,0,0,39,0,1
467,21,2,641,11,9,1,11,1,0,0,0,0,39,0,1
472,18,2,16587,1,8,0,10,0,0,0,0,0,39,0,1
473,13,2,17191,1,8,0,11,0,0,0,0,0,59,0,1
474,50,2,1385,13,10,2,8,0,0,1,0,0,23,0,1
475,29,2,16352,0,12,0,10,0,0,1,0,0,39,0,1
476,0,2,12918,10,4,0,8,0,0,0,0,0,5,0,1
477,5,2,16440,11,9,0,6,3,0,0,0,0,29,0,1
478,10,2,8059,4,5,0,8,0,0,0,0,0,39,0,1
479,6,2,11705,1,8,0,8,4,0,1,0,0,34,0,1
480,16,2,4534,12,11,1,10,1,0,0,0,0,44,16,1
481,26,1,8893,11,9,1,10,1,0,0,0,0,19,0,1
482,11,0,2203,0,12,0,7,0,0,0,0,0,19,0,1
483,24,2,11290,1,8,3,10,4,0,1,0,0,39,0,1
485,8,2,10866,11,9,3,0,3,1,1,0,0,19,0,1
487,42,4,16654,1,8,1,11,1,0,0,0,0,44,0,1
488,28,4,8322,0,12,2,7,4,0,1,0,0,39,0,1
490,23,2,18396,1,8,0,8,0,0,1,0,0,34,0,1
491,29,3,18861,1,8,2,0,0,0,0,0,0,39,0,1
492,18,2,509,12,11,0,1,0,0,1,0,0,59,0,1
493,17,2,10584,1,8,2,7,4,0,1,0,0,24,0,1
494,16,2,9656,0,12,0,10,3,0,0,0,0,19,0,1
495,24,2,18263,1,8,2,0,4,0,1,0,0,35,0,1
496,3,2,15695,11,9,0,13,3,0,0,0,0,39,0,1
497,6,2,19331,3,2,0,8,3,0,0,0,0,39,18,1
498,9,2,1994,11,9,0,7,0,0,1,0,0,34,0,1
500,6,4,17785,1,8,0,12,0,0,0,0,0,39,7,1
501,45,4,4719,1,8,1,11,1,0,0,0,0,39,0,1
502,35,2,1360,11,9,1,0,1,0,0,0,0,39,0,1
503,41,2,9920,11,9,2,8,4,0,1,0,0,41,19,1
504,8,2,9928,0,12,0,9,0,0,1,0,0,39,0,1
505,7,2,19133,0,12,0,1,0,1,0,0,0,39,0,1
506,2,2,15143,11,9,0,3,3,0,0,0,0,7,0,1
507,26,2,4562,11,9,1,1,1,0,0,0,0,39,0,1
508,30,4,20057,1,8,4,0,4,1,1,0,0,39,0,1
509,22,2,3121,1,8,2,8,4,0,1,0,0,39,0,1
510,32,2,6683,13,10,3,6,4,0,0,0,14,41,0,1
512,15,2,850,13,10,0,10,0,0,0,0,0,44,0,1
514,11,2,10824,1,8,2,10,0,0,0,0,0,44,0,1
516,8,2,15872,11,9,0,0,0,3,1,0,0,19,0,1
522,7,4,15082,11,9,2,6,0,1,0,0,0,49,0,1
525,11,2,2851,11,9,1,9,2,0,1,0,0,39,0,1
527,57,2,3536,11,9,2,0,0,0,1,0,0,8,0,1
528,21,1,10933,1,8,1,10,1,0,0,0,0,49,0,1
529,27,1,12170,9,13,1,7,1,0,0,0,0,39,0,1
530,27,2,4337,8,6,2,13,4,4,1,0,0,45,38,1
531,9,2,4276,1,8,0,13,0,0,0,0,0,39,0,1
532,19,2,11627,1,8,1,8,1,1,0,0,0,39,0,1
535,22,4,12601,7,7,1,2,1,0,0,0,0,49,0,1
536,40,2,10999,5,1,6,5,0,1,1,0,0,29,0,1
537,12,2,3781,13,10,4,10,0,0,0,0,0,39,0,1
538,14,5,1061,0,12,0,12,0,0,1,0,0,44,0,1
540,27,2,12807,11,9,1,11,1,0,0,0,0,39,0,1
541,12,2,6174,15,15,0,7,3,0,0,0,0,39,0,1
542,13,2,14541,11,9,0,6,4,0,1,0,0,39,0,1
543,10,2,8282,1,8,0,11,0,0,0,0,0,39,0,1
544,10,2,12101,11,9,1,9,1,0,0,0,0,49,0,1
545,15,2,2775,1,8,0,6,0,0,1,0,0,44,0,1
546,41,2,1487,4,5,1,8,2,0,1,0,0,7,0,1
547,18,4,14273,11,9,1,3,1,0,0,0,0,39,0,1
548,4,2,15575,1,8,0,6,3,0,0,0,0,35,0,1
549,11,2,10337,11,9,0,10,4,0,0,0,0,39,0,1
550,29,1,14962,11,9,2,1,0,0,0,0,0,49,0,1
551,19,1,206,1,8,4,8,4,0,1,0,0,39,0,1
552,55,2,12392,8,6,6,0,4,0,1,0,0,39,0,1
553,18,2,14039,1,8,1,13,2,1,1,0,0,39,0,1
555,52,2,6294,8,6,0,13,0,0,1,0,0,39,0,1
556,18,2,1625,1,8,1,13,1,0,0,0,0,39,0,1
558,17,2,7127,1,8,1,2,2,0,1,0,0,31,0,1
559,13,2,7421,8,6,1,8,1,0,0,0,0,39,36,1
560,11,2,4715,0,12,0,11,0,0,0,0,0,54,0,1
563,7,2,2704,1,8,0,6,4,1,1,0,0,39,0,1
565,3,2,218,1,8,0,6,3,3,0,0,0,47,0,1
566,26,5,10728,9,13,1,1,1,0,0,76,0,44,0,1
567,28,2,19632,14,3,4,8,4,0,1,0,0,39,36,1
568,12,1,4448,1,8,4,10,0,0,0,0,0,34,0,1
569,30,2,2917,9,13,2,1,4,0,0,0,0,41,0,1
570,7,2,18553,1,8,0,10,3,0,0,0,0,39,0,1
571,34,2,3289,1,8,1,7,1,0,0,0,0,39,0,1
572,0,2,14808,8,6,0,9,3,0,0,0,0,11,0,1
574,10,2,7824,15,15,0,7,0,0,1,0,0,68,0,1
577,19,1,286,12,11,2,9,4,0,1,0,0,34,0,1
578,41,4,16531,0,12,0,7,0,0,1,0,0,39,0,1
579,9,1,2883,11,9,1,10,1,0,0,0,0,44,0,1
582,42,2,11898,1,8,1,10,1,0,0,0,0,39,0,1
583,10,2,9984,1,8,1,13,1,0,0,0,0,39,0,1
584,14,1,18195,0,12,0,2,0,0,0,0,0,39,0,1
585,4,2,11689,11,9,0,9,3,0,1,0,0,23,0,1
586,12,2,672,11,9,0,0,0,0,0,0,0,59,0,1
587,1,2,7723,8,6,0,8,3,0,0,0,0,39,0,1
589,40,5,3912,0,12,2,7,0,0,0,0,0,76,0,1
594,6,2,5040,0,12,0,0,3,0,1,0,0,39,0,1
595,10,2,15878,1,8,0,9,3,0,0,0,0,39,0,1
